model,seed,best_epoch,train_time_s,threshold,val_illicit_precision,val_illicit_recall,val_illicit_f1,val_macro_f1,val_micro_f1,val_roc_auc,val_pr_auc,val_threshold,test_illicit_precision,test_illicit_recall,test_illicit_f1,test_macro_f1,test_micro_f1,test_roc_auc,test_pr_auc,test_threshold,use_edge_attr,use_gate,use_time_feat,use_jk,loss
E_no_jk,314,158,20.13,0.9500000000000004,0.8894557823129252,0.8849407783417935,0.8871925360474979,0.9322229141670704,0.9621406205522346,0.9823765332369758,0.9419620515883008,0.9500000000000004,0.5725871857258719,0.6518928901200369,0.6096718480138169,0.7902665583545103,0.9457708458308338,0.9009583773110166,0.6820063710034456,0.9500000000000004,True,True,True,False,weighted_bce
F_cb_focal,42,164,11.75,0.6500000000000002,0.8962585034013606,0.8917089678510999,0.8939779474130619,0.9362997313600285,0.9644178764588671,0.9853292196082927,0.9322154731083446,0.6500000000000002,0.5356104651162791,0.6805170821791321,0.5994306628710858,0.7837670136997184,0.9409118176364727,0.9114231554446045,0.6526251545409433,0.6500000000000002,True,True,True,True,cb_focal
F_cb_focal,123,209,13.59,0.5750000000000002,0.8664495114006515,0.9001692047377327,0.8829875518672199,0.9293824548547576,0.9598633646456021,0.9859627239993931,0.9460844296599159,0.5750000000000002,0.41729106628242074,0.6685133887349953,0.5138396025550035,0.7344769731535257,0.9178164367126574,0.8928421363044861,0.6117579549051645,0.5750000000000002,True,True,True,True,cb_focal
F_cb_focal,2026,102,8.16,0.7250000000000003,0.9184782608695652,0.8578680203045685,0.8871391076115486,0.9326057598231123,0.9632792485055508,0.9832324011437824,0.927399441355721,0.7250000000000003,0.6402010050251257,0.5881809787626963,0.6130895091434071,0.7936856924515576,0.9517696460707858,0.9072386777792252,0.5744967220336306,0.7250000000000003,True,True,True,True,cb_focal
F_cb_focal,7,86,7.29,0.7000000000000003,0.8943661971830986,0.8595600676818951,0.8766177739430544,0.9261220794037754,0.9592940506689439,0.9828577417826837,0.9127585154398389,0.7000000000000003,0.4531700288184438,0.5807940904893814,0.509105625252934,0.7349052697841333,0.9272345530893821,0.8896228425314299,0.5113628177040181,0.7000000000000003,True,True,True,True,cb_focal
F_cb_focal,314,156,10.75,0.7500000000000002,0.8729096989966555,0.883248730964467,0.8780487804878049,0.9266036261527597,0.9587247366922858,0.9843442187223131,0.9264223853593547,0.7500000000000002,0.5007052186177715,0.6555863342566943,0.5677728908436626,0.7663599367801762,0.9351529694061188,0.8915579790697329,0.5935217720391299,0.7500000000000002,True,True,True,True,cb_focal
G_old_timeembed,42,28,4.4,0.7750000000000002,0.6627906976744186,0.5786802030456852,0.6178861788617886,0.7732107022033221,0.8795900939368061,0.8794129603185358,0.5890704752165947,0.7750000000000002,0.3524046434494196,0.39242843951985223,0.37134119702927043,0.662499042043024,0.9136772645470905,0.869388813428052,0.3885832834397003,0.7750000000000002,True,True,OLD_EMBED,True,weighted_bce
G_old_timeembed,123,93,7.7,0.9500000000000004,0.7535545023696683,0.5380710659898477,0.6278381046396841,0.7825703079326809,0.8926843153999431,0.8146411898301119,0.6044009456625221,0.9500000000000004,0.2121654501216545,0.4025854108956602,0.2778840025493945,0.6014279293589301,0.8640671865626874,0.7852556771716089,0.2667961441775912,0.9500000000000004,True,True,OLD_EMBED,True,weighted_bce
G_old_timeembed,2026,178,12.02,0.07500000000000001,0.5314401622718052,0.4433164128595601,0.4833948339483395,0.6945752358903596,0.8405920865357245,0.7957814050826276,0.4745485877459717,0.07500000000000001,0.27136150234741785,0.5337026777469991,0.35978835978835977,0.6457553675331749,0.8766046790641872,0.8458835970335628,0.3325966208545731,0.07500000000000001,True,True,OLD_EMBED,True,weighted_bce
G_old_timeembed,7,29,4.54,0.7250000000000003,0.668041237113402,0.5482233502538071,0.6022304832713755,0.7651488550810659,0.8781668089951609,0.8549179397557013,0.5618085415109897,0.7250000000000003,0.3285060975609756,0.3979686057248384,0.35991649269311066,0.6551884935593522,0.9080383923215357,0.8596167782169967,0.330993356177699,0.7250000000000003,True,True,OLD_EMBED,True,weighted_bce
G_old_timeembed,314,87,7.35,0.32500000000000007,0.748314606741573,0.5634517766497462,0.6428571428571429,0.7905437634152159,0.8946769143182465,0.8370938246640517,0.6580887025723026,0.32500000000000007,0.2009733753220727,0.6481994459833795,0.3068181818181818,0.5982707235053918,0.8097180563887223,0.8437824130853178,0.3889855397501858,0.32500000000000007,True,True,OLD_EMBED,True,weighted_bce
